close_time,symbol,side,strategy,reason,entry_price,exit_price,amount,pnl,pnl_pct,balance,entry_time,adx,rsi,atr_pct,ema50_dist_pct,ema200_dist_pct,btc_corr_4c,volume_ratio,side_int,hold_hours,funding_rate,oi_change_pct,hour_of_day,day_of_week,fear_greed,btc_dominance,market_regime,bb_position,macd_hist_norm,consec_candles,news_sentiment
2025-04-28T12:00:00+00:00,BTC/USDT,LONG,V14_Radical_4H,SL,94692.49,93588.746222,250.0,-2.914,-1.1656,425.06,2025-04-28T04:00:00+00:00,37.04,61.24,0.00971,3.021,8.151,0.6124,1.152,1,8.0,0.0,0.0,0.174,0.0,50.0,55.0,1.0,0.3046,1,2.0,0.0
2025-04-28T12:00:00+00:00,LINK/USDT,LONG,V14_Radical_4H,SL,15.01,14.57582,140.625,-4.0677,-2.8926,561.62,2025-04-28T04:00:00+00:00,22.5,58.12,0.02411,4.569,8.351,0.6124,1.046,1,8.0,0.0,0.0,0.174,0.0,50.0,55.0,1.0,0.3524,1,2.0,0.0
2025-04-28T12:00:00+00:00,AVAX/USDT,LONG,V14_Radical_4H,SL,22.3,21.622447,105.4688,-3.2045,-3.0384,663.89,2025-04-28T04:00:00+00:00,21.39,55.15,0.02532,3.42,9.524,0.6124,1.072,1,8.0,0.0,0.0,0.174,0.0,50.0,55.0,1.0,0.4113,1,2.0,0.0
2025-04-28T12:00:00+00:00,DOGE/USDT,LONG,V14_Radical_4H,SL,0.18128,0.175948,79.1016,-2.3264,-2.9411,740.66,2025-04-28T04:00:00+00:00,24.86,54.89,0.02451,3.432,6.369,0.6124,0.62,1,8.0,0.0,0.0,0.174,0.0,50.0,55.0,0.0,0.5534,1,1.0,0.0
2025-04-28T16:00:00+00:00,ETH/USDT,SHORT,V14_Radical_4H,SL,1804.79,1802.98521,187.5,0.1875,0.1,422.04,2025-04-28T04:00:00+00:00,40.33,57.96,0.01782,3.361,2.066,0.6124,0.861,-1,12.0,0.0,0.0,0.174,0.0,50.0,55.0,1.0,0.361,1,1.0,0.0
2025-04-29T08:00:00+00:00,ETH/USDT,SHORT,V14_Radical_4H,SL,1797.17,1841.236035,105.5093,-2.5871,-2.452,419.45,2025-04-28T16:00:00+00:00,34.9,53.57,0.02043,2.65,1.611,0.5769,1.507,-1,16.0,0.0,0.0,0.696,0.0,50.0,55.0,0.0,0.5437,1,1.0,0.0
2025-04-29T20:00:00+00:00,BTC/USDT,LONG,V14_Radical_4H,SL,93833.51,93927.34351,185.1653,0.1852,0.1,499.94,2025-04-28T12:00:00+00:00,35.57,51.52,0.01087,1.909,7.15,0.5152,2.354,1,32.0,0.0,0.0,0.522,0.0,50.0,55.0,0.0,0.808,1,-1.0,0.0
2025-04-29T20:00:00+00:00,LINK/USDT,LONG,V14_Radical_4H,SL,14.55,14.56455,138.874,0.1389,0.1,638.95,2025-04-28T12:00:00+00:00,21.33,47.03,0.02546,1.326,5.318,0.5152,1.218,1,32.0,0.0,0.0,0.522,0.0,50.0,55.0,0.0,0.8373,1,-2.0,0.0
2025-04-30T00:00:00+00:00,XRP/USDT,SHORT,V14_Radical_4H,TIMEOUT,2.3355,2.2488,59.3262,2.2023,3.7123,420.94,2025-04-28T04:00:00+00:00,23.06,70.95,0.0197,6.584,6.922,0.6124,1.938,-1,44.0,0.0,0.0,0.174,0.0,50.0,55.0,1.0,-0.2455,1,2.0,0.0
2025-04-30T08:00:00+00:00,DOGE/USDT,LONG,V14_Radical_4H,TIMEOUT,0.17573,0.17598,104.1555,0.1482,0.1423,420.01,2025-04-28T12:00:00+00:00,22.7,43.45,0.02628,0.222,3.311,0.5152,1.323,1,44.0,0.0,0.0,0.522,0.0,50.0,55.0,0.0,1.1031,1,-1.0,0.0
2025-04-30T08:00:00+00:00,SUI/USDT,LONG,V14_Radical_4H,TIMEOUT,3.5833,3.5271,78.1166,-1.2252,-1.5684,496.9,2025-04-28T12:00:00+00:00,46.29,57.8,0.04279,12.147,27.565,0.5152,1.835,1,44.0,0.0,0.0,0.522,0.0,50.0,55.0,1.0,0.5113,1,-1.0,0.0
2025-04-30T12:00:00+00:00,BTC/USDT,LONG,V14_Radical_4H,SL,94256.82,93048.063136,159.7377,-2.0485,-1.2824,437.19,2025-04-29T20:00:00+00:00,27.2,50.59,0.01069,1.531,6.936,0.5059,1.21,1,16.0,0.0,0.0,0.87,0.167,50.0,55.0,0.0,0.6132,1,-1.0,0.0
2025-04-30T12:00:00+00:00,LINK/USDT,LONG,V14_Radical_4H,SL,14.6,14.177488,119.8033,-3.467,-2.8939,553.53,2025-04-29T20:00:00+00:00,20.73,45.32,0.02412,0.567,5.024,0.5059,0.817,1,16.0,0.0,0.0,0.87,0.167,50.0,55.0,0.0,0.7643,1,-4.0,0.0
2025-04-30T12:00:00+00:00,XRP/USDT,LONG,V14_Radical_4H,SL,2.2488,2.198264,105.2346,-2.3649,-2.2472,656.4,2025-04-30T00:00:00+00:00,21.91,49.91,0.01873,1.402,2.828,0.5591,0.659,1,12.0,0.0,0.0,0.0,0.333,50.0,55.0,0.0,0.5567,1,1.0,0.0
2025-04-30T12:00:00+00:00,DOGE/USDT,LONG,V14_Radical_4H,SL,0.17598,0.171095,124.2247,-3.4484,-2.776,777.18,2025-04-30T08:00:00+00:00,20.85,45.6,0.02313,-0.04,2.999,0.5635,0.693,1,4.0,0.0,0.0,0.348,0.333,50.0,55.0,0.0,0.7832,-0.3564,1.0,0.0
2025-04-30T12:00:00+00:00,SUI/USDT,LONG,V14_Radical_4H,SL,3.5271,3.370313,93.1685,-4.1415,-4.4452,866.2,2025-04-30T08:00:00+00:00,26.78,51.86,0.03704,6.553,23.547,0.5635,0.436,1,4.0,0.0,0.0,0.348,0.333,50.0,55.0,0.0,0.7418,1,-2.0,0.0
2025-04-30T16:00:00+00:00,ETH/USDT,SHORT,V14_Radical_4H,SL,1829.77,1788.32372,104.8626,2.3753,2.2651,312.79,2025-04-29T08:00:00+00:00,29.15,60.57,0.01888,3.864,3.267,0.591,1.442,-1,32.0,0.0,0.0,0.348,0.167,50.0,55.0,1.0,0.0458,1,5.0,0.0
